廠商代號,廠商名稱,廠址,電話,傳真,登錄日期,登錄範圍,證書有效期限,版本
4S4Y011,台灣電力股份有限公司卓蘭發電廠,苗栗縣卓蘭鎮景山里電廠1號,04-25921293,04-25921949,095/12/29,"下列項目之生產：＊電力(水力發電)",107/09/22,4
4S5Y005,台灣中油股份有限公司天然氣事業部北區營業處,苗栗縣苗栗市福星街25號,037-260780,037-260974,085/04/10,"下列項目之服務：天然氣之營運",106/07/24,12
4S5Y006,臺灣菸酒股份有限公司桃園營業處,桃園市民生路664號,03-3385725#200,03-3365774,090/12/20,"下列項目之服務：＊菸酒之批發＊菸酒之零售",105/12/27,6
4S7Y009,核能研究所,桃園市龍潭區佳安里文化路1000號,(03)4711400#2502,,091/01/28,"下列項目之設計、開發、服務、維護：＊核能技術衍生加值＊民生產業研發與推廣＊核能知識型服務與驗證",106/01/22,6
4S7Y010,證豐企業管理顧問有限公司,桃園市桃園區大興西路2段65號18樓,03-3018999#127,03-3018777,092/09/17,"下列項目之服務：＊跨國人力仲介招募",107/09/16,5
4X0Y003,萬洲化學股份有限公司楊梅一廠,桃園市楊梅區民富路2段199巷15號,03-4723111#3616,03-4725032,082/11/05,"下列項目之設計、開發、生產：＊離型基材＊黏性膠帶＊接著劑◎萬洲化學股份有限公司楊梅二廠(桃園市楊梅區民富路2段199巷18號)◎萬洲化學股份有限公司楊梅三廠(桃園市楊梅區民富路2段199巷12號)",107/01/31,13
4X0Y010,松華實業股份有限公司平鎮廠,桃園市平鎮區平鎮工業區工業五路11、13、15及15之1號,03-4696296,03-4695627,085/02/03,"下列項目之生產：＊熱固性樹脂裝飾板",106/04/30,8
4X0Y011,四維精密材料股份有限公司,桃園市桃園區興華路12號,02-9954222,02-9954233,085/06/14,"下列項目之設計、生產：＊商標紙＊美紋膠帶＊雙面膠帶＊印刷電路板用材料＊聚脂膜膠帶＊包裝用感壓性紙黏膠帶",106/06/05,10
4X0Y012,大洋塑膠工業股份有限公司中壢廠,桃園市中壢區後寮里龍興路539號,03-4650125,03-4653104,085/06/06,"下列項目之生產：＊耐衝擊硬質聚氯乙烯塑膠接頭＊塑木複合材(雅柏木)＊聚氯乙烯塑膠硬質管＊導電線用聚氯乙烯塑膠硬質管＊自來水聚氯乙烯塑膠硬質管＊塑膠一般板＊合成樹脂可撓電線導管-CD管＊塑膠耐衝板＊硬質聚氯乙烯塑膠芯層發泡管＊塑膠發泡板＊塑膠焊條＊飲水(自來水)用聚氯乙烯塑膠硬質管接頭配件＊聚氯乙烯塑膠粒＊耐衝擊硬質聚氯乙烯塑膠管＊管筏用聚氯乙烯硬質塑膠管",106/07/31,12
4X0Y013,華夏海灣塑膠股份有限公司頭份廠,苗栗縣頭份鎮田寮里17鄰民族路571號,037-623391#251,037-613326,085/07/25,"下列項目之生產：＊自來水用聚氯乙烯塑膠硬質管＊導電線用聚氯乙烯塑膠硬質管＊聚氯乙烯樹脂＊聚氯乙烯塑膠混合粒＊聚氯乙烯塑膠防蝕裡襯＊聚氯乙烯塑膠硬質管＊硬質聚氯乙烯塑膠片＊硬質聚氯乙烯塑膠芯層發泡管＊飲水(自來水)用聚氯乙烯塑膠硬質管接頭配件＊耐衝擊硬質聚氯乙烯塑膠管＊液鹼＊鹽酸＊漂水下列項目之生產、設計：＊塑膠軟皮＊塑膠皮＊軟質聚氯乙烯塑膠片",106/06/30,11
4X9Y001,永豐餘工業用紙股份有限公司桃園廠,桃園市蘆竹區蘆竹里富國路3段1078號,03-3222411,03-3222415,083/07/14,"下列項目之生產：＊瓦楞紙板＊瓦楞紙箱",107/09/21,9
4X9Y016,永發紙業股份有限公司第二廠,苗栗縣後龍鎮東明里宏陽路99號,(037)720561,(037)729048,085/08/29,"下列項目之生產：＊瓦楞紙板＊瓦楞紙箱",106/11/07,8
4X9Y019,永豐餘消費品實業股份有限公司楊梅廠,桃園市楊梅區高榮里梅高路2段668巷70號,03-4902631#355,03-4905965,085/12/12,"下列項目之生產：＊家庭用紙紙製品",107/02/12,11
4X9Y021,福山紙器股份有限公司龍潭廠,桃園市龍潭區高原里中原路3段390號,03-4717916,03-4718647,086/02/03,"下列項目之生產：＊瓦楞紙箱",107/03/18,7
4X9Y022,大夏紙業股份有限公司,苗栗縣竹南鎮公館里公館仔77號,037-622121-5,037-622218,087/07/15,"下列項目之生產：＊瓦楞紙板(外裝紙箱用)＊外裝用瓦楞紙箱",105/10/18,7
4X9Y023,泉辰股份有限公司新埔廠,新竹縣新埔鎮義民路3段601巷20弄1號,03-5888101-7,03-5882781,087/12/28,"下列項目之生產：＊紙箱",105/10/13,7
4XBY008,和隆興業股份有限公司新竹廠,新竹縣湖口鄉中山路1段2號,035-692516,035-692510,085/01/08,"下列項目之設計、開發、生產：＊陶質壁磚＊瓷質地磚＊石質地磚＊瓷質壁磚＊石質壁磚",106/06/05,9
4XBY013,冠軍建材股份有限公司第二廠,苗栗縣造橋鄉豐湖村1鄰乳姑山2號,(037)561761,(037)651525,085/04/20,"下列項目之設計、開發、生產：＊陶瓷面磚(Ⅰ類-內裝地磚)＊陶瓷面磚(Ⅰ類-內裝壁磚)＊陶瓷面磚(Ⅰ類-外裝壁磚)＊陶瓷面磚(Ⅰ類-外裝地磚)下列項目之生產：＊陶瓷面磚(Ⅲ類-內裝壁磚)＊陶瓷面磚(Ⅱ類-外裝壁磚)＊陶瓷面磚(Ⅱ類-內裝地磚)＊陶瓷面磚(Ⅱ類-內裝壁磚)",106/07/31,10
4XBY018,宏國窯業股份有限公司,桃園市中壢區後興路二段160巷138號,03-4572155,03-4572967,085/07/12,"下列項目之生產：＊陶瓷面磚(Ⅱ類-內裝地磚)＊陶瓷面磚(Ⅱ類-內裝壁磚)＊陶瓷面磚(Ⅲ類-內裝壁磚)",106/10/07,8
4XBY026,昇元窯業股份有限公司,桃園市觀音區廣興村廣興一路137號,03-4733130,03-4732586,086/07/26,"下列項目之生產：＊陶質地磚＊石質地磚＊瓷質地磚＊陶質壁磚＊瓷質壁磚",107/09/21,10
4XBY029,台灣東陶股份有限公司,苗栗縣造橋鄉朝陽村後湖內12號,(02)5912345,(02)5959713,085/12/12,"下列項目之生產：＊衛生陶瓷器:水洗馬桶＊水箱＊小便器＊洗面盆",107/02/02,8
4XBY031,精工陶瓷股份有限公司,苗栗縣竹南鎮大埔里中埔5號,037-581545,037-581928,086/06/23,"下列項目之設計、開發、生產：＊瓷質地磚＊瓷質壁磚＊瓷質拋光磚＊窯燒花崗石面磚",107/07/26,8
4XBY040,大同磁器股份有限公司新埔廠,新竹縣新埔鎮南平里1鄰義民路2段10號,(03)5882574,(03)5882684,087/07/20,"下列項目之生產：＊陶瓷面磚(Ⅰ類-內裝地磚、Ⅰ類-內裝壁磚、Ⅰ類-外裝地磚、Ⅰ類-外裝壁磚)",105/08/16,8
4XBY045,國信窯業股份有限公司,桃園市大溪區南興里仁和路2段61巷27號,03-3900766,03-3900777,087/11/03,"下列項目之生產：＊瓷質地磚＊瓷質壁磚",106/01/09,7
4XBY048,新燕企業股份有限公司,新竹縣湖口鄉湖南村光復北路21巷6號,03-5981658,03-5981657,087/11/17,"下列項目之生產：＊真珠岩保溫板(磚)及保溫管＊隔熱填充珍珠岩粉＊珍珠岩濾過助劑",106/01/16,7
4XBY050,白馬窯業股份有限公司楊梅廠,326桃園市楊梅區新榮里電研路5、8-1號,03-4903111,03-4903117,088/01/14,"下列項目之設計、開發、生產：＊陶瓷面磚(Ⅱ類-外裝壁磚)＊陶瓷面磚(Ⅰ類-外裝壁磚)＊陶瓷面磚(Ⅰ類-外裝地磚)＊陶瓷面磚(Ⅰ類-內裝地磚)下列項目之生產：＊陶瓷面磚(Ⅱ類-內裝地磚)＊陶瓷面磚(Ⅰ類-內裝壁磚)＊陶瓷面磚(Ⅱ類-外裝地磚)＊陶瓷面磚(Ⅲ類-內裝壁磚)＊陶瓷面磚(Ⅱ類-內裝壁磚)",106/05/31,12
4XCY005,台灣玻璃工業股份有限公司桃園廠,桃園市觀音區樹林村經建五路1號,(03)4837333,(03)7837332,084/07/24,"下列項目之設計、開發、生產：＊切股＊直捲紗束＊玻璃纖維布＊併股紗束＊玻璃纖維紗＊編紗束＊切股氈",106/01/19,9
4XCY010,元昶玻璃股份有限公司,桃園市楊梅區上湖里中山南路800巷100號,(03)4755151,(03)4783870,087/10/28,"下列項目之生產：＊強化平面玻璃＊強化彎曲玻璃＊膠合彎曲玻璃＊膠合平面玻璃",105/12/19,7
4XDY003,環球水泥股份有限公司海湖石膏板廠,桃園市蘆竹區海湖村海山中街18號,(03)3543056,(03)3541711,085/04/20,"下列項目之生產：＊石膏板",106/05/05,10
4XDY005,幸福水泥股份有限公司埔心廠,桃園市楊梅區梅獅路一段193號,03-4823106,02-5090782,085/12/05,"下列項目之生產：＊卜特蘭水泥第I型＊卜特蘭水泥第II型＊爐石粉",106/12/31,12
4XDY011,偉盟工業股份有限公司芎林廠,新竹縣芎林鄉五龍村五和街236號,03-5931567,03-5931618,086/08/04,"下列項目之生產：＊混凝土管＊下水道用鋼筋混凝土管(推進施工法用)＊鋼襯預力混凝土管＊無鋼襯預力混凝土管",107/09/22,10
4XDY012,興亞水泥製品工廠股份有限公司,苗栗縣苑裡鎮房裡里6鄰南房69之1號,037-861066,037-868396,086/10/24,"下列項目之生產：＊離心機製預力鋼筋水泥電桿＊離心機製預力鋼筋水泥基樁",107/09/22,8
4XDY013,耐用水泥製品股份有限公司,苗栗縣苑裡鎮房裡里6鄰南房69之3號,037-861666,037-868396,086/08/26,"下列項目之生產：＊離心機製預力鋼筋水泥電桿＊離心機製預力鋼筋水泥基樁",107/09/22,8
4XEY003,長春石油化學股份有限公司苗栗廠,苗栗縣苗栗市褔安里27鄰福星246及246-3號,03-7320673轉251,03-7355591,083/03/16,"下列項目之生產：＊環氧大豆油＊雙氧水＊醋酸丁酯＊福美林＊六甲基四胺＊顯影劑＊塑膠桶＊剝離劑＊甲酸鈉＊菸鹼酸＊鹽基性硫酸鉻＊醋酸甲酯＊醋酸丙酯＊蝕刻液＊銅電解液下列項目之設計、開發、生產：丙二醇甲醚＊三聚氰胺＊聚乙烯醇與聚乙烯醇薄膜＊聚醋酸乙烯乳膠與聚醋酸乙烯粉體＊聚乙烯縮丁醛與聚乙烯縮丁醛薄膜丙二醇甲醚醋酸酯＊冰醋酸乙烯-乙烯醇共聚物(益膜新)＊三甲醇丙烷＊抗氧化劑＊銅箔＊&#21537;啶與3-甲基&#21537;啶＊壓克力乳膠/樹脂◎長春石油化學股份有限公司苗栗二廠(苗栗市文聖里21鄰文山245號)◎長春石油化學股份有限公司麥寮廠(雲林縣麥寮鄉三盛村台塑工業園區7鄰26號)",107/08/20,18
4XEY005,中國製釉股份有限公司,新竹縣竹東鎮中興路4段136號,03-5824128,03-5820543,083/04/13,"下列項目之設計、開發、生產、服務：＊螢光粉＊陶瓷釉＊陶瓷色料",107/05/12,12
4XEY012,台灣中油股份有限公司煉製事業部桃園煉油廠,桃園市龜山區南上村民生北路1段50號,03-3255111,03-3252123,084/06/28,"下列項目之生產：汽油液化石油氣柴油航空燃油(JET-A1、JP-8)燃料油＊丙烯＊硫磺柏油煤油◎陸運組(五股儲運課)(新北市五股區成泰路一段233號)◎海運組(沙崙儲運課)(桃園縣大園鄉沙崙村111-2、111-3、118-1號)◎海運組(海上作業課)(桃園縣大園鄉沙崙村111-1號)",105/11/24,15
4XEY024,科隆工業股份有限公司苗栗廠,苗栗縣銅鑼鄉中平村中隆二路2號,037-220092,037-220505,085/11/11,"下列項目之生產：＊片狀成型材＊複合材料模壓製品",107/01/31,10
4XEY026,中國石油化學工業開發股份有限公司頭份廠,苗栗縣頭份鎮中華路517號,037-623381#370,037-637040,086/02/21,"下列項目之生產：＊硫酸銨＊己內醯胺＊尼龍粒",107/07/08,8
4XFY001,台灣阿克蘇諾貝爾塗料股份有限公司得利製漆廠,桃園市中壢區中壢工業區東園路52號及北園路33及35號,03-2720672,03-4622000,082/12/14,"下列項目之生產：＊油漆",107/01/31,12
4XFY006,尚志精密化學股份有限公司,桃園市觀音區草漯村16鄰247之1號,03-4830321#237,03-4838381,086/03/28,"下列項目之設計、開發、生產：＊電著樹脂＊塗料用溶劑＊塗料下列項目之設計、生產：＊磷酸鋰鐵正極材料",107/05/19,11
4XFY009,國寶製煉油漆油墨股份有限公司銅鑼工廠,苗栗縣銅鑼鄉銅鑼村25鄰民治路39號,03-3983625,03-3983629,086/11/06,"下列項目之生產：＊塗料＊油漆",107/09/22,7
4XWY001,泰豐輪胎股份有限公司,桃園市中壢區中華路2段369號,03-4522156#406,03-4516683,084/05/05,"下列項目之設計、生產、服務：＊轎車用輪胎(交叉層、徑向層)＊小型卡車用輪胎(交叉層、徑向層)＊工業車輛用輪胎",105/11/24,11
4XWY009,台灣普利司通股份有限公司新竹工廠,新竹縣湖口鄉鳳山村莊敬路1號,03-5981621,03-5981888,085/12/10,"下列項目之設計、開發、生產：＊汽車用外胎(轎車用輪胎輻射層)＊汽車用外胎(小型卡車用輪胎輻射層)＊汽車用外胎(轎車用應急備用胎交叉層Ｔ型)",107/02/14,8
5A0Y001,元久科技工業股份有限公司,彰化縣和美鎮彰美路3段392號,04-7550101,04-7560520,084/02/07,"下列項目之設計、生產：＊電扇＊加濕機＊除濕機＊電暖器＊飲水機＊空氣清淨機＊開飲機＊烘碗機下列項目之生產：＊移動冷氣機＊電子鍋＊熱水瓶",105/10/19,10
5A0Y004,高幟通風工程股份有限公司太平廠,台中市太平區永平路3段132巷71號,04-23898928,04-23899053,085/10/03,"下列項目之生產：＊浴室用通風扇",106/12/30,10
5A0Y006,東龍工業股份有限公司,台中市豐原區西勢路550號,04-5321105,04-5333777,086/06/04,"下列項目之設計、生產：＊電熱水瓶＊開飲機＊電咖啡機＊飲水供應機",107/08/31,9
5A0Y007,來永實業股份有限公司,台中市豐原區三豐路929巷20號,04-25225135,04-25260658,085/04/24,"下列項目之設計、生產：＊抽油煙機",106/08/19,9
5A0Y012,立原家電股份有限公司,台中市豐原區豐原大道5段198號,04-5271155,04-5270886,087/04/07,"下列項目之設計、生產：＊吊電扇",105/11/09,7
5A0Y015,鑫司電機股份有限公司,南投縣南投市工業東路27號,049-2257766,049-2257849,087/12/29,"下列項目之設計、生產、服務：＊家用儲存式電熱水器＊家用即熱式電熱水器",105/08/12,8
5A0Y018,國寶電器股份有限公司,台中市大里區工業十一路185號,04-24912151,04-4912560,088/10/27,"下列項目之設計、開發、生產：＊除濕機",107/01/30,8
5A0Y024,怡心工業股份有限公司工廠,彰化縣溪湖鎮華北三街70號,04-8852896,04-8853111,092/08/11,"下列項目之生產：＊家用儲存式電熱水器",107/09/22,5
5A1Y002,協興電機工業股份有限公司,台中市后里區后里里三豐路344之2號,04-5580535,04-5572727,085/08/13,"下列項目之生產：＊低壓三相感應電動機＊低壓三相鼠籠型感應電動機(一般用)＊低壓單相感應電動機",106/10/31,9
5A1Y004,永元電機股份有限公司,台中市神岡區豐洲里堤南路12號,42520656,04-25204788,086/01/07,"下列項目之設計、生產：＊單相交流感應電動機＊三相交流感應電動機",107/02/16,9
5A1Y006,愛德利科技股份有限公司,台中市神岡區北庄里中山路989巷4號,04-25622651#16,04-5628289,086/11/26,"下列項目之設計、生產：＊變頻馬達＊一般用電動機＊伺服變頻控制器＊無刷直流馬達及其控制器＊電風扇馬達＊工業用針車馬達",107/05/06,9
5E8Y001,台灣村田股份有限公司,40761 台中巿西屯區中清路三段451號,04-24254151ex110,04-24250609,082/11/26,"下列項目之生產：＊射頻開關IC＊射頻前端模塊＊瓷質電容器＊表面聲波元件",107/01/18,9
5E8Y003,裕昌機電工廠股份有限公司,台中市清水區中正街59、61號,04-6224188,04-6224646,083/12/17,"下列項目之設計、生產：＊電器用電容器＊低壓組合式電容器組＊自動功率因數調整盤下列項目之設計、生產、檢修服務：＊高壓電容器＊低壓電容器",107/09/22,11
5F6Y002,台灣大食品股份有限公司,43650台中市清水區北堤路35號,(04)26577959#212,(04)26574123,097/12/03,"下列項目之生產：＊麵粉",107/01/30,4
5F8Y004,中聯油脂股份有限公司台中港廠,台中市清水區海濱里北堤路1之8號,04-26571112#261,04-26574289,089/01/28,"下列項目之生產：＊釀用豆片＊非基因改造黃豆＊脫殼全脂豆粉＊脫殼高蛋白黃豆粉＊發酵豆粉＊大豆沙拉油＊特選黃豆＊黃豆粉＊大豆磷脂質",107/04/01,7
5FCY001,優仕咖啡股份有限公司台中廠,台中市霧峰區中正路266-1號,04-23314534,04-23321072,097/12/22,"下列項目之生產：＊研磨咖啡豆＊研磨咖啡粉",107/01/30,3
5FDY002,臺灣菸酒股份有限公司埔里酒廠,南投縣埔里鎮中山路3段219號,049-2984006ex392,049-2981861,086/06/23,"下列項目之生產：＊牛軋糖＊紹興米糕＊冰棒＊紹興酒蛋＊清酒粕＊吟釀清酒＊紹興酒＊陳年紹興酒＊愛蘭白酒◎臺灣菸酒股份有限公司埔里酒廠儲酒工廠(545 南投縣埔里鎮中山路3段178號)",107/08/27,10
5FEY001,台中市大甲區農會頂店工廠,台中市大甲區中山路1段1372號,04-26863990#241,04-26867624,088/12/03,"下列項目之生產：＊白米",107/03/11,7
5M1Y008,程泰機械股份有限公司中科分公司中科廠,台中市西屯區中部科學工業園區科園路38號,04-24636000分機12320,04-24636038,083/07/14,"下列項目之設計、生產、服務：＊數值控制車床",107/09/07,10
5M1Y011,大立機器工業股份有限公司,台中市霧峰區南勢里豐正路工業巷3號,04-23334567*551,04-3370261,083/09/03,"下列項目之設計、生產、安裝、服務：＊立式綜合加工機＊臥式銑床＊臥式綜合加工機＊立式銑床＊膝型立臥複合銑床＊床台型銑床＊萬能銑床◎B廠(台中市霧峰區南勢里豐正路工業巷18號)",107/07/06,10
5M1Y022,台灣麗偉電腦機械股份有限公司臺中三期總廠,台中市工業區33路23號,04-23591880#576,04-23503238,085/10/29,"下列項目之設計、開發、生產、服務：＊數值控制車床＊立式綜合加工中心機＊臥式切削中心機",107/01/30,9
5M1Y027,福裕事業股份有限公司全興廠,彰化縣伸港鄉溪底村興工路34號,04-7991126#320,04-7994296,086/02/05,"下列項目之設計、生產、安裝、服務：＊平面磨床＊床檯型電腦控制銑床＊立式切削中心機＊數值控制車床◎福裕事業股份有限公司大雅廠區(台中市大雅區龍善二街12號)",107/04/01,10
5M1Y032,金竑精密股份有限公司,台中市大雅區二和里田心街10號,04-25673513,04-5665254,088/05/05,"下列項目之生產、服務：＊高速車床",106/12/02,7
5M4Y010,竹洲工業股份有限公司南崗廠,南投縣南投市南崗工業區南崗三路99號,049-2256282~736,049-2256283,084/07/06,"下列項目之設計、生產、服務：＊氣動釘槍下列項目之生產：＊低碳鋼線＊卷釘＊預力混凝土用鋼棒＊紙、塑排釘＊集線帶＊屋頂釘＊工業針＊鍍鋅、銅線",105/09/05,9
5M4Y033,僑星齒輪股份有限公司第二廠,彰化縣秀水鄉彰鹿路295號,04-27684006,04-27693695,086/01/03,"下列項目之生產：＊精密齒輪◎僑星齒輪股份有限公司工廠(彰化縣彰化市彰鹿路91之1號)",107/09/13,9
5M4Y041,宇祥鋼鐵工業股份有限公司,台中市西屯區工業區三十四路10號,04-23597281,04-23592569,087/07/03,"下列項目之生產：＊鋼製門",105/09/13,7
5M4Y043,富山精機廠股份有限公司,彰化縣和美鎮彰美路4段89巷22號,04-7562131#23,04-7562130,087/07/08,"下列項目之設計、開發、生產：＊各類閥＊接頭",105/09/13,8
5M4Y044,關友股份有限公司大甲廠,台中市大甲區日南里工一路28號、幼三路1號,04-26811126,04-26817778,087/07/20,"下列項目之設計、生產：＊液化石油氣鋼瓶開關＊液化石油氣鋼瓶開關加防止過量充填裝置＊高壓閥＊燃料瓦斯手持噴槍",105/09/06,8
5M4Y054,合興工業股份有限公司,彰化縣北斗鎮新工一路103號,04-8877610#663,04-8877087,088/10/04,"下列項目之設計、生產：＊關門器＊安全門用推壓式門鎖＊天鉸鏈＊地鉸鏈",107/01/30,9
5M4Y059,永安凡而機器廠股份有限公司,台中市潭子區中山路3段27號,04-2244-2297,04-2242-0482,092/03/18,"下列項目之生產：＊逆止閥＊閘閥＊球型閥＊Y型過濾器＊球塞閥＊蝶型閥",107/09/22,6
5M5Y001,聖岱實業股份有限公司,台中市大里區仁美路62號,04-24917181,04-24916462,082/08/03,"下列項目之設計、開發、生產：＊套筒扳手",106/10/13,10
5M8Y004,豐興鋼鐵股份有限公司,台中市后里區甲后路702、702-1、702-2號,04-25565101,04-25566955,085/03/06,"下列項目之生產：＊直棒鋼＊一般構造用壓延鋼材＊盤元＊扁鋼＊混凝土用鋼筋＊槽鋼",106/06/06,10
5M8Y005,昌靖興業股份有限公司,彰化縣鹿港鎮鹿工南二路27號,04-7810858,04-8527531,085/06/29,"下列項目之生產：＊機械結構用不?鋼鋼管＊配管用不?鋼鋼管",106/08/31,10
5M8Y013,中龍鋼鐵股份有限公司,台中市龍井區麗水里龍昌路100號,04-26306088ex8815,04-26306041,088/10/11,"下列項目之設計、生產：＊小鋼胚＊H型鋼＊熱軋鋼板＊熱軋鋼捲＊扁鋼胚",107/01/30,9
5M9Y007,豪山國際股份有限公司,台中市潭子區栗林里豐栗路100巷88弄1號,04-253817426,04-25874325,085/09/17,"下列項目之設計、開發、生產、安裝、服務：＊燃氣熱水器(即熱型)＊燃氣台爐＊瓦斯考克下列項目之設計、開發、生產：＊電熱烘碗機＊電磁爐◎豪山國際股份有限公司第二廠(台中市東勢區東關街575之1號)◎豪山國際股份有限公司第一廠(台中市潭子區中山路3段493巷35號)",106/12/08,11
5MAY009,崇銘企業有限公司台中高鐵分廠,台中市烏日區學田路25號,04-2626887,04-2614020,086/03/21,"下列項目之設計、生產：＊汽車引擎用鑄鐵汽缸襯套",107/04/09,8
5S4Y002,台灣電力股份有限公司台中發電廠,台中市龍井區麗水里龍昌路1號,04-6398955,04-6398971,086/10/03,"下列項目之生產：＊電力（火力發電）",107/09/22,9
5S4Y003,台灣電力股份有限公司大觀發電廠,南投縣水里鄉車埕村明潭巷73號,049-2774016ex442,049-774065,086/10/21,"下列項目之生產：＊電力（水力發電）",107/09/22,8
5S4Y007,台灣電力股份有限公司彰化區營業處,彰化縣彰化市中山路2段418號,04-7234422,04-7256472,090/06/26,"下列項目之服務：＊供售電服務",105/09/13,7
5S4Y016,台灣電力股份有限公司台中區營業處,台中市自由路2段86號,04-22245131#5103,04-22259096,093/12/24,"下列項目之服務：＊供售電服務",105/11/13,6
5S5Y001,台灣中油股份有限公司油品行銷事業部台中營業處,台中市文心路4段121號,04-22920130ex180,04-22932860,085/08/22,"下列項目之服務：＊石油製品之營運及銷售",107/02/19,13
5S5Y005,里仁事業股份有限公司(中區批發物流課),台中市南屯區永春路17-2號,(04)23827988,(04)23826188,097/09/15,"下列項目之服務：＊商品批發物流",106/09/14,3
5S9Y003,財團法人自行車暨健康科技工業研究發展中心,台中市台中工業區三十七路17號,04-23501100ex107,04-23506624,086/09/26,"下列項目之設計、服務：＊自行車零組件動態模擬分析＊產品3D電腦模型設計＊成車結構負荷力擷取及人體騎姿形態量測＊技術服務:自行車零組件之設計、材料選用及製程改善＊檢測服務:性能測試服務＊休閒健身器材之設計.研發＊產品認證服務及安全檢驗服務＊檢測設備設計製造＊各國標準及檢測技術諮詢＊材料分析服務下列項目之服務：資訊服務:網路虛擬站之建置及維護國際網路之產品廣告服務舉辦專業人才培訓課程及專題研討會",107/09/22,10
5S9Y005,財團法人車輛研究測試中心,彰化縣鹿港鎮鹿工南七路6號,04-7811222-2306,04-7811050、168,083/08/25,"下列項目之檢測、研究、開發服務：＊車輛及零組件",107/09/22,10
5TAY002,三越紡織工業股份有限公司,彰化縣秀水鄉埔崙村三越街82號,(04)7692511,(04)7694324,085/05/02,"下列項目之生產：＊胚紗＊梭織胚布",106/07/28,8
5TAY003,聚隆纖維股份有限公司,彰化縣埔鹽鄉番金路94號、94之11號,04-8652321ex2116,04-8656171,086/01/15,"下列項目之設計、開發、生產、服務：＊超細纖維複合原絲下列項目之生產：＊耐隆原絲＊超細纖維複合假撚絲＊耐隆仿棉絲＊聚酯假撚絲＊聚酯仿棉絲＊聚酯原絲",107/02/16,8
5TAY004,二億企業股份有限公司,彰化縣福興鄉興業路16號,04-7696001,04-7697801,088/08/17,"下列項目之設計、開發、生產：＊花邊鬆緊帶",106/11/06,7
5TBY003,震旦行股份有限公司家具廠,台中市大甲區幼七路13號,04-26815990ext223,04-26815911,085/01/30,"下列項目之設計、開發、生產：＊辦公椅＊屏風＊辦公桌＊檔案櫃＊鋼製衣櫃＊理想櫃＊保管庫＊鋼製公文櫃",106/03/17,10
5X0Y007,億豐綜合工業股份有限公司芳苑廠三廠,彰化縣芳苑鄉後寮村工區路19及21號,04-8961181,04-8969226,085/10/12,"下列項目之生產：＊聚氯乙烯塑膠硬質管(一般用管、導電線用管、自來水用管)",107/01/30,10
5X0Y010,興農股份有限公司彰濱廠,彰化縣伸港鄉彰濱東12路3號,04-7910393轉303,04-7910398,086/01/30,"下列項目之設計、生產：＊一般塑膠瓶＊阻氣積層瓶＊射出塑膠製品＊食品軟管",107/05/06,9
5X0Y016,駿豐記企業股份有限公司南投廠,南投縣南投市永豐里工業北路22號,043-0050199,049-2251826,087/08/05,"下列項目之生產：＊聚氯乙烯塑膠硬質管＊導電線用聚氯乙烯塑膠硬質管＊塑膠彎管＊塑膠過牆管＊塑膠管節",105/10/17,7
5X0Y019,鐶琪塑膠股份有限公司中港分公司,台中市梧棲區經二路16號,04-26595377,04-26595232,088/06/24,"下列項目之生產：＊聚氯乙烯塑膠硬質管(僅限工業用管,管徑:3/8""至12"")＊氯化聚氯乙烯塑膠硬質管",106/08/31,9
5X0Y021,依新塑膠工業股份有限公司,台中市大肚區福山里沙田路1段428巷100號,04-6930888,04-6934891,088/10/13,"下列項目之生產：＊聚氯乙烯塑膠硬質管＊硬質聚氯乙烯電線導管＊塑膠捲心管",106/09/30,8
5X0Y024,益沅塑膠工業股份有限公司,台中市工業區十九路11號,04-23550035,04-23505078,094/04/25,"下列項目之生產：＊塑膠射出製品及組立",106/04/24,4
5X9Y004,永豐餘工業用紙股份有限公司成功廠,台中市烏日區中山路3段546號,(04)3381126,(04)3363154,085/06/13,"下列項目之生產：＊瓦楞芯紙",106/08/31,9
5X9Y006,永豐餘消費品實業股份有限公司清水廠,台中市清水區海風里舊庄路258號,04-26201200#361,04-26200000,085/01/17,"下列項目之生產：＊原紙＊衛生紙＊面紙",106/06/30,13
5X9Y013,正大造紙廠股份有限公司,彰化縣埔心鄉東門村員鹿路2段271號,04-8296542,04-8292968,087/05/06,"下列項目之生產：＊衛生紙＊面紙＊廚房用紙巾　　＊擦手紙",105/09/27,8
5X9Y016,永豐餘工業用紙股份有限公司彰化廠,彰化縣伸港鄉溪底村工西二路8號,04-7989567,04-7989561,087/06/11,"下列項目之生產：＊瓦楞紙板＊瓦楞紙箱",105/08/25,7
5X9Y020,品冠紙業股份有限公司大甲廠,台中市大甲區建興里如意路46號,(04)6815890,(04)6815880,088/01/20,"下列項目之生產：＊瓦楞紙板＊瓦楞紙箱",106/12/08,7
5X9Y022,好加企業股份有限公司,台中市太平區光興路1778巷18號,04-2704765,04-2779800,088/10/08,"下列項目之設計、生產：＊商標紙＊膠帶＊塑膠商標紙＊塑膠上光膜",106/09/27,7
5X9Y023,詠綦實業股份有限公司,彰化縣彰化市平和里平安街65號,04-7510099#212,04-7513322,092/08/11,"下列項目之製造：＊廚房用紙巾＊衛生紙＊擦手紙＊面紙",107/09/22,7
